Time,Retransmissions
1,0
2,1
3,2
4,2
5,2
6,2
7,2
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,12
34,12
35,12
36,14
37,14
38,15
39,15
40,15
41,15
42,15
43,15
44,15
45,15
46,15
47,15
48,15
49,15
50,15
51,15
52,15
53,15
54,15
55,18
56,18
57,18
58,18
59,18
60,18
61,18
62,18
63,18
64,18
65,18
66,19
67,19
68,19
69,19
70,19
71,19
72,19
73,20
74,22
75,22
76,22
77,23
78,23
79,24
80,25
81,25
82,25
83,25
84,27
85,28
86,28
87,29
88,29
89,29
90,29
91,29
92,31
93,31
94,31
95,31
96,31
97,31
98,31
99,31
100,31
101,31
102,31
103,31
104,31
105,31
106,31
107,36
108,36
109,36
110,36
111,36
112,36
113,36
114,36
115,36
116,36
117,36
118,36
119,40
120,40
121,40
122,40
123,40
124,41
125,41
126,41
127,41
128,42
129,42
130,42
131,42
132,42
133,42
134,42
135,42
136,42
137,42
138,42
139,42
140,42
141,42
142,42
143,42
144,42
145,42
146,42
147,42
148,42
149,42
150,42
151,42
152,42
153,42
154,42
155,42
156,42
157,42
158,42
159,42
160,42
161,42
162,42
163,42
164,42
165,42
166,42
167,42
168,42
169,42
170,42
171,42
172,42
173,42
174,42
175,42
176,57
177,57
178,61
179,61
180,61
181,61
182,61
183,61
184,61
185,62
186,62
187,62
188,62
189,62
190,62
191,62
192,63
193,63
194,63
195,64
196,64
197,64
198,64
199,64
200,64
201,64
202,64
203,64
204,64
205,64
206,64
207,64
208,64
209,64
210,64
211,64
212,64
213,64
214,64
215,64
216,64
217,64
218,64
219,64
220,70
221,70
222,70
223,70
224,70
225,70
226,70
227,70
228,70
229,70
230,70
231,70
232,70
233,70
234,70
235,73
236,73
237,73
238,74
239,74
240,74
241,74
242,74
243,74
244,74
245,74
246,74
247,74
248,74
249,76
250,76
251,76
252,77
253,77
254,78
255,78
256,78
257,78
258,78
259,78
260,78
261,78
262,78
263,78
264,78
265,78
266,78
267,78
268,78
269,78
270,78
271,78
272,78
273,78
274,78
275,78
276,78
277,78
278,78
279,78
280,78
281,78
282,78
283,78
284,78
285,78
286,78
287,78
288,88
289,88
290,88
291,88
292,88
293,88
294,88
295,88
296,88
297,88
298,88
299,88
300,88
301,88
302,88
303,90
304,90
305,90
306,90
307,91
308,91
309,91
310,91
311,91
312,91
313,92
314,92
315,92
316,93
317,93
318,93
319,93
320,93
321,93
322,93
323,95
324,95
325,95
326,95
327,95
328,95
329,95
330,95
331,95
332,95
333,95
334,95
335,95
336,95
337,95
338,95
339,100
340,100
341,101
342,101
343,101
344,101
345,101
346,101
347,101
348,101
349,101
350,101
351,101
352,101
353,101
354,101
355,101
356,105
357,106
358,106
359,106
360,106
361,106
362,106
363,106
364,106
365,106
366,108
367,108
368,108
369,108
370,108
371,108
372,108
373,108
374,108
375,108
376,108
377,112
378,112
379,112
380,112
381,112
382,112
383,112
384,112
385,112
386,112
387,112
388,112
389,112
390,112
391,113
392,113
393,113
394,113
395,113
396,113
397,113
398,116
399,116
400,116
401,116
402,117
403,117
404,117
405,117
406,117
407,117
408,117
409,117
410,117
411,117
412,117
413,117
414,117
415,117
416,117
417,117
418,122
